Symbol,ISIN,Trade Date,Exchange,Segment,Series,Trade Type,Auction,Quantity,Price,Trade ID,Order ID,Order Execution Time,,,,,,,,,,,,,,,,
RELINFRA,INE036A01016,13-04-2023,NSE,EQ,EQ,sell,FALSE,1305,162.9,78170048,1.3E+15,13-04-2023 14:35,,,,,,,,,,,,,,,,
RELINFRA,INE036A01016,13-04-2023,NSE,EQ,EQ,sell,FALSE,38,162.9,78170240,1.3E+15,13-04-2023 14:35,,,,,,,,,,,,,,,,
RELINFRA,INE036A01016,13-04-2023,NSE,EQ,EQ,sell,FALSE,300,162.9,78170242,1.3E+15,13-04-2023 14:35,,,,,,,,,,,,,,,,
RELINFRA,INE036A01016,13-04-2023,NSE,EQ,EQ,sell,FALSE,489,162.9,78170236,1.3E+15,13-04-2023 14:35,,,,,,,,,,,,,,,,
RELINFRA,INE036A01016,13-04-2023,NSE,EQ,EQ,sell,FALSE,880,162.9,78170158,1.3E+15,13-04-2023 14:35,,,,,,,,,,,,,,,,
RELINFRA,INE036A01016,13-04-2023,NSE,EQ,EQ,sell,FALSE,1988,162.9,78170821,1.3E+15,13-04-2023 14:35,,,,,,,,,,,,,,,,
RELINFRA,INE036A01016,13-04-2023,NSE,EQ,EQ,sell,FALSE,156,163.5,78198370,1.3E+15,13-04-2023 14:37,,,,,,,,,,,,,,,,
RELINFRA,INE036A01016,13-04-2023,NSE,EQ,EQ,sell,FALSE,19,163.55,78198367,1.3E+15,13-04-2023 14:37,,,,,,,,,,,,,,,,
RELINFRA,INE036A01016,13-04-2023,NSE,EQ,EQ,sell,FALSE,393,163.6,78198364,1.3E+15,13-04-2023 14:37,,,,,,,,,,,,,,,,
RELINFRA,INE036A01016,13-04-2023,NSE,EQ,EQ,sell,FALSE,1,163.6,78198365,1.3E+15,13-04-2023 14:37,,,,,,,,,,,,,,,,
RELINFRA,INE036A01016,13-04-2023,NSE,EQ,EQ,sell,FALSE,1320,163.6,78198366,1.3E+15,13-04-2023 14:37,,,,,,,,,,,,,,,,
RELINFRA,INE036A01016,13-04-2023,NSE,EQ,EQ,sell,FALSE,19,163.5,78198368,1.3E+15,13-04-2023 14:37,,,,,,,,,,,,,,,,
RELINFRA,INE036A01016,13-04-2023,NSE,EQ,EQ,sell,FALSE,92,163.5,78198369,1.3E+15,13-04-2023 14:37,,,,,,,,,,,,,,,,
KINGSINFR-X,INE050N01010,21-04-2023,BSE,EQ,X,sell,FALSE,500,113.5,6069400,1.68205E+18,21-04-2023 10:09,,,,,,,,,,,,,,,,
KINGSINFR-X,INE050N01010,21-04-2023,BSE,EQ,X,sell,FALSE,215,113.5,6070800,1.68205E+18,21-04-2023 10:09,,,,,,,,,,,,,,,,
KINGSINFR-X,INE050N01010,21-04-2023,BSE,EQ,X,sell,FALSE,500,113.5,6071400,1.68205E+18,21-04-2023 10:09,,,,,,,,,,,,,,,,
KINGSINFR-X,INE050N01010,21-04-2023,BSE,EQ,X,sell,FALSE,5,113.5,6172100,1.68205E+18,21-04-2023 10:10,,,,,,,,,,,,,,,,
KINGSINFR-X,INE050N01010,21-04-2023,BSE,EQ,X,sell,FALSE,10,113.5,6235100,1.68205E+18,21-04-2023 10:11,,,,,,,,,,,,,,,,
PATELENG,INE244B01030,21-04-2023,NSE,EQ,EQ,buy,FALSE,3000,18,51509994,1.2E+15,21-04-2023 11:24,,,,,,,,,,,,,,,,
PATELENG,INE244B01030,21-04-2023,NSE,EQ,EQ,buy,FALSE,3000,18,51509945,1.2E+15,21-04-2023 11:24,,,,,,,,,,,,,,,,
PATELENG,INE244B01030,21-04-2023,NSE,EQ,EQ,buy,FALSE,3000,18,51510001,1.2E+15,21-04-2023 11:24,,,,,,,,,,,,,,,,
PATELENG,INE244B01030,21-04-2023,NSE,EQ,EQ,buy,FALSE,3000,18,51510007,1.2E+15,21-04-2023 11:24,,,,,,,,,,,,,,,,
PATELENG,INE244B01030,21-04-2023,NSE,EQ,EQ,buy,FALSE,3000,18,51510013,1.2E+15,21-04-2023 11:24,,,,,,,,,,,,,,,,
PATELENG,INE244B01030,21-04-2023,NSE,EQ,EQ,buy,FALSE,3000,18,51510019,1.2E+15,21-04-2023 11:24,,,,,,,,,,,,,,,,
PATELENG,INE244B01030,21-04-2023,NSE,EQ,EQ,buy,FALSE,3000,18,51510025,1.2E+15,21-04-2023 11:24,,,,,,,,,,,,,,,,
PATELENG,INE244B01030,21-04-2023,NSE,EQ,EQ,buy,FALSE,3000,18,51510030,1.2E+15,21-04-2023 11:24,,,,,,,,,,,,,,,,
PATELENG,INE244B01030,21-04-2023,NSE,EQ,EQ,buy,FALSE,1000,18,51510035,1.2E+15,21-04-2023 11:24,,,,,,,,,,,,,,,,
HSCL,INE019C01026,24-04-2023,NSE,EQ,EQ,sell,FALSE,100,103.4,25629911,1.1E+15,24-04-2023 09:38,,,,,,,,,,,,,,,,
HSCL,INE019C01026,24-04-2023,NSE,EQ,EQ,sell,FALSE,180,103.4,25630447,1.1E+15,24-04-2023 09:38,,,,,,,,,,,,,,,,
HSCL,INE019C01026,24-04-2023,NSE,EQ,EQ,sell,FALSE,1,103.4,25630722,1.1E+15,24-04-2023 09:38,,,,,,,,,,,,,,,,
HSCL,INE019C01026,24-04-2023,NSE,EQ,EQ,sell,FALSE,219,103.4,25630913,1.1E+15,24-04-2023 09:38,,,,,,,,,,,,,,,,
HSCL,INE019C01026,24-04-2023,NSE,EQ,EQ,sell,FALSE,731,103.4,25630915,1.1E+15,24-04-2023 09:38,,,,,,,,,,,,,,,,
HSCL,INE019C01026,24-04-2023,NSE,EQ,EQ,sell,FALSE,2000,103.4,25631014,1.1E+15,24-04-2023 09:38,,,,,,,,,,,,,,,,
HSCL,INE019C01026,24-04-2023,NSE,EQ,EQ,sell,FALSE,200,103.4,25631027,1.1E+15,24-04-2023 09:38,,,,,,,,,,,,,,,,
HSCL,INE019C01026,24-04-2023,NSE,EQ,EQ,sell,FALSE,1,103.4,25631539,1.1E+15,24-04-2023 09:38,,,,,,,,,,,,,,,,
HSCL,INE019C01026,24-04-2023,NSE,EQ,EQ,sell,FALSE,13,103.4,25631730,1.1E+15,24-04-2023 09:38,,,,,,,,,,,,,,,,
HSCL,INE019C01026,24-04-2023,NSE,EQ,EQ,sell,FALSE,286,103.4,25631744,1.1E+15,24-04-2023 09:38,,,,,,,,,,,,,,,,
HSCL,INE019C01026,24-04-2023,NSE,EQ,EQ,sell,FALSE,1269,103.4,25631747,1.1E+15,24-04-2023 09:38,,,,,,,,,,,,,,,,
HSCL,INE019C01026,04-24-2023,NSE,EQ,EQ,sell,FALSE,2325,103.3,27878385,1.1E+15,24-04-2023 13:04,,,,,,,,,,,,,,,,
HSCL,INE019C01026,04-24-2023,NSE,EQ,EQ,sell,FALSE,90,103.3,27879566,1.1E+15,24-04-2023 13:04,,,,,,,,,,,,,,,,
HSCL,INE019C01026,04-24-2023,NSE,EQ,EQ,sell,FALSE,410,103.3,27879610,1.1E+15,24-04-2023 13:04,,,,,,,,,,,,,,,,
HSCL,INE019C01026,04-24-2023,NSE,EQ,EQ,sell,FALSE,900,103.3,27879613,1.1E+15,24-04-2023 13:04,,,,,,,,,,,,,,,,
HSCL,INE019C01026,04-24-2023,NSE,EQ,EQ,sell,FALSE,75,103.3,27881363,1.1E+15,24-04-2023 13:05,,,,,,,,,,,,,,,,
HSCL,INE019C01026,04-24-2023,NSE,EQ,EQ,sell,FALSE,425,103.3,27902672,1.1E+15,24-04-2023 13:07,,,,,,,,,,,,,,,,
HSCL,INE019C01026,04-24-2023,NSE,EQ,EQ,sell,FALSE,41,103.3,27906488,1.1E+15,24-04-2023 13:07,,,,,,,,,,,,,,,,
HSCL,INE019C01026,04-24-2023,NSE,EQ,EQ,sell,FALSE,3,103.3,27909186,1.1E+15,24-04-2023 13:08,,,,,,,,,,,,,,,,
HSCL,INE019C01026,04-24-2023,NSE,EQ,EQ,sell,FALSE,731,103.05,27941078,1.1E+15,24-04-2023 13:11,,,,,,,,,,,,,,,,
